iter	Passed	Remaining
635	19694	11271
636	19723	11239
637	19770	11217
638	19798	11185
639	19828	11153
640	19858	11122
641	19888	11090
642	19916	11057
643	19944	11025
644	19973	10993
645	20002	10960
646	20031	10929
647	20061	10897
648	20089	10865
649	20118	10832
650	20150	10802
651	20182	10772
652	20213	10741
653	20244	10710
654	20275	10679
655	20314	10652
656	20354	10626
657	20383	10594
658	20415	10563
659	20443	10531
660	20473	10499
661	20504	10469
662	20533	10437
663	20563	10405
664	20594	10374
665	20623	10342
666	20652	10310
667	20682	10279
668	20711	10247
669	20742	10216
670	20779	10188
671	20811	10158
672	20846	10128
673	20874	10096
674	20904	10065
675	20933	10033
676	20964	10002
677	20992	9970
678	21022	9938
679	21052	9907
680	21082	9875
681	21111	9843
682	21144	9813
683	21176	9783
684	21209	9753
685	21249	9726
686	21289	9699
687	21348	9681
688	21385	9652
689	21416	9621
690	21450	9592
691	21480	9560
692	21511	9529
693	21538	9496
694	21566	9464
695	21596	9433
696	21626	9401
697	21651	9367
698	21680	9335
699	21707	9303
700	21736	9271
701	21767	9240
702	21797	9208
703	21827	9177
704	21855	9145
705	21886	9114
706	21914	9082
707	21942	9049
708	21969	9017
709	22000	8985
710	22030	8954
711	22058	8922
712	22085	8889
713	22115	8858
714	22143	8826
715	22176	8796
716	22208	8765
717	22238	8734
718	22267	8702
719	22299	8671
720	22332	8641
721	22361	8610
722	22388	8577
723	22418	8546
724	22447	8514
725	22477	8483
726	22506	8451
727	22531	8418
728	22558	8386
729	22589	8354
730	22625	8326
731	22656	8294
732	22683	8262
733	22712	8230
734	22739	8198
735	22776	8169
736	22807	8139
737	22835	8106
738	22863	8074
739	22891	8043
740	22924	8012
741	22952	7980
742	22980	7948
743	23010	7917
744	23050	7889
745	23083	7859
746	23120	7830
747	23153	7800
748	23181	7768
749	23212	7737
750	23243	7706
751	23275	7675
752	23303	7644
753	23334	7613
754	23362	7581
755	23397	7551
756	23432	7521
757	23464	7491
758	23498	7461
759	23536	7432
760	23568	7401
761	23598	7370
762	23627	7339
763	23656	7307
764	23685	7275
765	23715	7244
